Country,iso,CSCC_mean,CSCC_std,CSCC_skew,CSCC_median,CSCC_q17,CSCC_q83,CSCC_min,CSCC_max,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,Fa_tf_mean,Fa_tf_std,Fa_tf_skew,Fa_tf_median,Fa_tf_q17,Fa_tf_q83,Fa_tf_min,Fa_tf_max,Fa_mf_mean,Fa_mf_std,Fa_mf_skew,Fa_mf_median,Fa_mf_q17,Fa_mf_q83,Fa_mf_min,Fa_mf_max,Fb_mean,Fb_std,Fb_skew,Fb_median,Fb_q17,Fb_q83,Fb_min,Fb_max,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002397301059533697,3.7180508252300248e-06,0.033489244705798345,-0.0002395,-0.000243,-0.00023577335432300002,-0.000245,-0.000234841900433697
Afghanistan,AFG,0.2707055115195197,0.5243240501657377,0.33482350394721294,0.24844865433515073,-0.23236114046425035,0.7448194674426658,-1.9248726987223885,3.3178647758345665,0.9918649942075205,1.9211233198072626,0.3348235039472129,0.9103158694839923,-0.8513712186610134,2.7290185287099273,-7.052733568118832,12.156656538657852,0.0038676525,0.010466985,0.08437319099903107,0.003257822,-0.003786912,0.012185154,-0.031656284,0.03387492,0.000107642336,0.0002758784,0.803954005241394,2.4191888e-05,-5.192532e-05,0.0003337311,-0.00067946437,0.0012726451,0.000107642336,0.0002758784,0.803954005241394,2.4191888e-05,-5.192532e-05,0.0003337311,-0.00067946437,0.0012726451,-0.0008153955000000001,0.0008756980031540261,-1.9994015689545432,-0.00076734,-0.0013333406,-8.962630000000014e-05,-0.00417712,5.147e-05,-0.002820021169116525,0.00027967976371226245,-0.08284599727876275,-0.00282287352879068,-0.003069854913552785,-0.002514414766016297,-0.00324455946180832,-0.00247478120738994
Angola,AGO,0.7848106208649946,0.4866035909268282,0.42978123682499997,0.750965408609134,0.3359010910790824,1.2287231400563021,-0.869293206577061,3.557607017793824,2.8755461148493406,1.7829155571558986,0.4297812368249997,2.751537257143867,1.2307415977137581,4.502041585166292,-3.1850903088983515,13.035072113196572,0.054009665,0.03874484,-0.8585218787193298,0.059601873,0.022712583,0.0882696,-0.13170363,0.1595384,0.041856065,0.026212877,-0.2675412595272064,0.041269332,0.021264397,0.063725114,-0.071600564,0.12646899,0.041856065,0.026212877,-0.2675412595272064,0.041269332,0.021264397,0.063725114,-0.071600564,0.12646899,-0.02631082675,0.012415245368352859,0.03635286639315795,-0.028687305,-0.0417642811,-0.0131513517,-0.043914220000000004,-0.00712483,-0.004457126746684716,0.0005198193590782394,-0.32717010233791083,-0.004351890611097385,-0.00496487649458849,-0.00411358756046606,-0.00539555925858848,-0.0036189238341081003
Anguilla,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.685337168111426e-05,2.750328552841479e-06,0.6441661560272707,-3.8e-05,-3.9231000921072244e-05,-3.406e-05,-4e-05,-3.2e-05
Aland,ALA,,,,,,,,,,,,,,,,,5.9574e-05,0.00022020994,4.199397087097168,0.0,0.0,3.6571742e-05,-0.00040069674,0.0014328645,3.3920703e-06,1.872927e-05,0.08147674053907394,0.0,0.0,4.0151685e-06,-0.00012336693,9.6156255e-05,3.3920703e-06,1.872927e-05,0.08147674053907394,0.0,0.0,4.0151685e-06,-0.00012336693,9.6156255e-05,,,,,,,,,,,,,,,,
Albania,ALB,0.015833252770030014,0.027773136294200317,0.44480814181898604,0.014326340116676248,-0.01069444553265633,0.040550885594507494,-0.10069360017931442,0.20769727681760397,0.05801303814938997,0.10176077138194996,0.44480814181898654,0.052491710187501775,-0.039184448431652794,0.14857844481827545,-0.36894135105700804,0.7610028222597011,0.00095912727,0.0024493304,0.07759236544370651,0.0009133331,-0.00091921055,0.0029429493,-0.006111376,0.009093029,0.0005201092,0.00133803,-0.1760479360818863,0.00053084746,-0.00059057394,0.0016185148,-0.004826024,0.0051117996,0.0005201092,0.00133803,-0.1760479360818863,0.00053084746,-0.00059057394,0.0016185148,-0.004826024,0.0051117996,2.9102500000000002e-06,0.00015911559424112122,-0.6791754961764052,1.7375000000000002e-05,-0.0001449499,0.0001738937,-0.00049067,0.0002186,-0.0013738480371962391,0.00010979284496780788,-1.3427369835417744,-0.001342300079255695,-0.0014394186622157248,-0.0012974875876929253,-0.00163430381071933,-0.0012533138310350201
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7402500000000002e-06,1.1226125379027308e-06,-0.08240176572947269,1.98e-06,2.5e-07,2.957e-06,-5.0000000000000004e-08,3.5400000000000004e-06,-0.00012335746668316422,1.0418052833729329e-05,0.9640304637643934,-0.000127,-0.00013094000000000002,-0.00011341050498077027,-0.000135,-0.000102
United Arab Emirates,ARE,2.0681205163886256,1.129387820891695,0.41223712549008296,1.986328377392503,1.044161005128192,3.099035292569115,-1.8592059308030433,8.551063619817349,7.577593572047924,4.138076975747171,0.4122371254900835,7.277907174766131,3.8258059227896952,11.354865311973239,-6.812130530462351,31.33109710301077,7.707184e-05,0.000519034,2.1348586082458496,2.6143684e-07,-7.111135e-05,0.00022784229,-0.0018810394,0.0037961279,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.000104933,0.00013825645809926508,1.1730028383834203,3.6055e-05,1.8561700000000002e-05,0.0003351105,6.910000000000001e-06,0.00038309,-0.05898735792730155,0.0018523722803241724,-0.187054841946165,-0.058868954493996206,-0.06125187289752418,-0.05723440820352423,-0.0614463848049493,-0.056612341008371606
Argentina,ARG,0.939209685340165,0.9020892818145834,0.7658686559669275,0.8285891010174591,0.12009984952546694,1.7434607713316266,-2.202527007338983,7.230914417406061,3.4412642870863643,3.3052551285686342,0.7658686559669278,3.0359504661279706,0.44004584866131086,6.388040266159081,-8.070058954890033,26.49407042537581,0.053241953,0.14181808,-0.442785382270813,0.059937306,-0.054187026,0.16634497,-0.46299377,0.5489252,0.010121456,0.04603793,-0.7718446850776672,0.017473822,-0.031961348,0.04956002,-0.16153638,0.117066786,0.009215087,0.044704456,-0.7261607646942139,0.01569612,-0.030437656,0.046805717,-0.15310207,0.11556053,-0.02068752375,0.019861484706482017,-0.05791192777275936,-0.026610855,-0.0384065521,0.005012025299999998,-0.06574047000000001,0.006693800000000001,-0.05048134715909393,0.002580265052678113,0.6992383841288754,-0.0511543043555489,-0.051790494372519896,-0.04859915395904984,-0.0546132127949192,-0.045004094553348306
Armenia,ARM,-0.017998924152034974,0.020522757240113366,-0.330744299376327,-0.017396173232226506,-0.03634356774506404,0.0011457742836656537,-0.1740307033826158,0.07355695672371813,-0.06594805809305616,0.07519538252777537,-0.3307442993763264,-0.06373957872287792,-0.13316283221791464,0.004198116975350955,-0.6376484971939043,0.2695126894357033,0.00013481292,0.0020031503,-0.048607006669044495,0.0001692822,-0.0017106881,0.0016893966,-0.0072596185,0.007073357,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.00015178825,0.00016176959281149667,-0.896572782935941,-7.235e-05,-0.0003761675,-2.1943700000000018e-05,-0.0004942,-2.19e-06,-0.001665242057802542,0.00022241264830497626,-0.682513603643064,-0.0015597569109310951,-0.001913035333737795,-0.001502220003801485,-0.00204883883422811,-0.00142003639553552
