iso,Country,CSCC_mean,CSCC_gtc_mean,Fa_mean,Fa_tf_mean,Fa_mf_mean,Fb_mean,Fc_mean,Fab_mean,Fab_tf_mean,Fab_mf_mean,Fabc_mean,Fabc_tf_mean,Fabc_mf_mean,Fa_Wdom_mean,Fa_tf_Wdom_mean,Fa_mf_Wdom_mean,Fb_Wdom_mean,Fc_Wdom_mean,Fab_Wdom_mean,Fab_tf_Wdom_mean,Fab_mf_Wdom_mean,Fabc_Wdom_mean,Fabc_tf_Wdom_mean,Fabc_mf_Wdom_mean,Fa_Wout_mean,Fa_tf_Wout_mean,Fa_mf_Wout_mean,Fb_Wout_mean,Fc_Wout_mean,Fab_Wout_mean,Fab_tf_Wout_mean,Fab_mf_Wout_mean,Fabc_Wout_mean,Fabc_tf_Wout_mean,Fabc_mf_Wout_mean,Fa_Win_mean,Fa_tf_Win_mean,Fa_mf_Win_mean,Fb_Win_mean,Fc_Win_mean,Fab_Win_mean,Fab_tf_Win_mean,Fab_mf_Win_mean,Fabc_Win_mean,Fabc_tf_Win_mean,Fabc_mf_Win_mean,Fa_Wnet_mean,Fa_tf_Wnet_mean,Fa_mf_Wnet_mean,Fb_Wnet_mean,Fc_Wnet_mean,Fab_Wnet_mean,Fab_tf_Wnet_mean,Fab_mf_Wnet_mean,Fabc_Wnet_mean,Fabc_tf_Wnet_mean,Fabc_mf_Wnet_mean
ABW,Aruba,,,,,,,-0.0002397301059533697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,0.2707055115195197,0.9918649942075205,0.0038676525,0.000107642336,0.000107642336,-0.0008153955000000001,-0.002820021169116525,0.0030522570000482796,-0.0007077531640663669,-0.0007077531640663669,0.00023223583093175473,-0.003527774333182892,-0.003527774333182892,0.0038361891245570893,0.00010676666490729701,0.00010676666490729701,-0.0008087622528843383,-0.002797080280570847,0.0030274268716727506,-0.0007019955879770414,-0.0007019955879770414,0.00023034659110190362,-0.0034990758685478885,-0.0034990758685478885,2.4415364066312666,0.06795147239146167,0.06795147239146167,-0.5147354368130161,-1.7801972518945062,1.9268009698182504,-0.4467839644215545,-0.4467839644215545,0.1466037179237444,-2.2269812163160605,-2.2269812163160605,3.3485439523633653,2.1968177064978227,1.6996218201090814,-1.1609083217527183,-9.41244766300957,2.18330465766234,1.0341032711505354,0.5369073391319761,-7.111466316439167,-8.260667702950972,-8.757863634969532,-0.9070075457320987,-2.128866234106361,-1.6316703477176198,0.6461728849397022,7.632250411115063,-0.2565036878440894,-1.48088723557209,-0.9836913035535306,7.258070034362912,6.033686486634911,6.530882418653471
AGO,Angola,0.7848106208649946,2.8755461148493406,0.054009665,0.041856065,0.041856065,-0.02631082675,-0.004457126746684716,0.027698838053743364,0.015545238642494203,0.015545238642494203,0.023241711307058648,0.011088111895809487,0.011088111895809487,0.1553072817907194,0.12035904622226665,0.12035904622226665,-0.0756579956394366,-0.012816673499820318,0.0796492861512828,0.04470105058283005,0.04470105058283005,0.06683261265146248,0.03188437708300973,0.03188437708300973,33.99299177438953,26.343671855129745,26.343671855129745,-16.55969761227159,-2.805258528969134,17.43329416211794,9.783974242858156,9.783974242858156,14.628035633148803,6.978715713889021,6.978715713889021,9.563680323110802,6.248811539722992,4.807376094606461,-3.292311503209006,-27.283207079768314,6.258812871670248,2.951264166839233,1.5098282466440924,-20.683234123233618,-23.99078282806463,-25.43221874825977,24.42931145127873,20.094860315406752,21.536295760523284,-13.267386109062585,24.47794855079918,11.174481290447691,6.832710076018922,8.274145996214063,35.31126975638242,30.96949854195365,32.410934462148795
AIA,Anguilla,,,,,,,-3.685337168111426e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALA,Aland,,,5.9574e-05,3.3920703e-06,3.3920703e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,0.015833252770030014,0.05801303814938997,0.00095912727,0.0005201092,0.0005201092,2.9102500000000002e-06,-0.0013738480371962391,0.0009620375182882846,0.000523019448987484,0.000523019448987484,-0.00041181051890795456,-0.0008508285882087551,-0.0008508285882087551,5.564188680532844e-05,3.0173114802709566e-05,3.0173114802709566e-05,1.6883244427426216e-07,-7.970109859332995e-05,5.58107192496027e-05,3.034194724698383e-05,3.034194724698383e-05,-2.3890379343727247e-05,-4.935915134634612e-05,-4.935915134634612e-05,0.6063647998889325,0.32881549799671245,0.32881549799671245,0.0018398738282419042,-0.8685532334400379,0.6082046737171745,0.33065537182495436,0.33065537182495436,-0.26034855972286347,-0.5378978616150835,-0.5378978616150835,0.19602119810267946,0.12846540256717742,0.09938498931210993,-0.06794765957644629,-0.550607091628417,0.12782022822559297,0.0604121053343393,0.031331689410436465,-0.415904089756425,-0.4833122126476787,-0.5123926285715815,0.41034360178625306,0.20035009542953502,0.22943050868460252,0.06978753340468818,-0.31794614181162084,0.4803844454915815,0.27024326649061503,0.2993236824145179,0.15555553003356154,-0.054585648967404754,-0.02550523304350194
AND,Andorra,,,,,,1.7402500000000002e-06,-0.00012335746668316422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,2.0681205163886256,7.577593572047924,7.707184e-05,0.0,0.0,0.000104933,-0.05898735792730155,0.0001820048397689052,0.000104933,0.000104933,-0.058805353087532646,-0.05888242492730155,-0.05888242492730155,0.0005840190776187635,0.0,0.0,0.0007951396262957049,-0.4469822242620104,0.0013791587039144683,0.0007951396262957049,0.0007951396262957049,-0.4456030655580959,-0.44618708463571466,-0.44618708463571466,0.0481456340835719,0.0,0.0,0.065550087248984,-36.84852676204497,0.1136957213325559,0.065550087248984,0.065550087248984,-36.73483104071241,-36.78297667479598,-36.78297667479598,25.61073872403653,16.78393732495298,12.985489472897115,-8.876015013004874,-71.48306719039292,16.701635915806172,7.894124944034414,4.095675840058924,-53.88241162306444,-62.689922594836204,-66.48837169881169,-25.56259308995296,-16.78393732495298,-12.985489472897115,8.941565100253857,34.63454042834795,-16.587940194473617,-7.82857485678543,-4.03012575280994,17.147580582352035,25.906945920040222,29.705395024015708
ARG,Argentina,0.939209685340165,3.4412642870863643,0.053241953,0.010121456,0.009215087,-0.02068752375,-0.05048134715909393,0.032554429503746034,-0.010566067402594088,-0.011472437051467894,-0.017926917655347895,-0.06104741456168802,-0.06195378421056182,0.18321963230683788,0.03483060626163156,0.03171154875806312,-0.07119123666912598,-0.17371965714259863,0.1120283956377119,-0.03636063040749442,-0.039479687911062857,-0.061691261504886734,-0.21008028755009306,-0.21319934505366148,33.47968401004415,6.364589191865601,5.794644484991898,-13.00875936687301,-31.7437555912525,20.470924643171145,-6.644170175007409,-7.2141148818811125,-11.272830948081356,-38.38792576625991,-38.95787047313362,11.447824899306006,7.5873737853942576,5.865477310923608,-3.9593729391345884,-32.4923646169064,7.473425840731725,3.6217345720135916,1.8998380129441335,-24.610660845884933,-28.46235211460307,-30.184248673672528,22.031859110738147,-1.2227845935286563,-0.07083282593170992,-9.04938642773842,0.7486090256538986,12.99749880243942,-10.265904747021,-9.113952894825246,13.337829897803577,-9.92557365165684,-8.77362179946109
ARM,Armenia,-0.017998924152034974,-0.06594805809305616,0.00013481292,0.0,0.0,-0.00015178825,-0.001665242057802542,-1.697533465155215e-05,-0.00015178825,-0.00015178825,-0.0016822173924540941,-0.001817030307802542,-0.001817030307802542,-8.890649973093703e-06,-0.0,-0.0,1.0010140328843332e-05,0.00010981947996696243,1.1194903557496304e-06,1.0010140328843332e-05,1.0010140328843332e-05,0.00011093897032271206,0.00011982962029580576,0.00011982962029580576,0.0852460748962126,0.0,0.0,-0.09598006611177418,-1.0529803380696126,-0.01073399121556159,-0.09598006611177418,-0.09598006611177418,-1.063714329285174,-1.1489604041813866,-1.1489604041813866,-0.22288733701405825,-0.14607118516084128,-0.11301316255391959,0.07723133438852962,0.6258998803450981,-0.14536803551581942,-0.06871977180369818,-0.03566173830127684,0.47270764580861674,0.5493559095207379,0.5824139430231593,0.3081334119102708,0.14607118516084128,0.11301316255391959,-0.1732114005003038,-1.6788802184147107,0.13463404430025783,-0.027260294308076,-0.060318327810497334,-1.5364219750937909,-1.6983163137021244,-1.7313743472045457
ATA,Antarctica,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF,French Southern and Antarctic Lands,,,3.0001209e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,,,,,,2.61025e-06,-0.0001653468121192552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
